priority,cve_id,on_kev,epss,cvss
35.7,CVE-2026-66748,False,0.00805,8.8
32.6,CVE-2026-54593,False,0.00357,8.1
30.2,CVE-2026-61609,False,0.00394,7.5
28.5,CVE-2026-54545,False,0.00149,7.1
26.2,CVE-2026-66749,False,0.00311,6.5
26.1,CVE-2026-7868,False,0.00174,6.5
23.8,CVE-2026-66754,False,0.00401,5.9
22.1,CVE-2026-7775,False,0.00142,5.5
21.8,CVE-2026-67181,False,0.00292,5.4
21.7,CVE-2026-66752,False,0.00237,5.4
21.7,CVE-2026-66751,False,0.00213,5.4
21.7,CVE-2026-66746,False,0.00241,5.4
21.7,CVE-2026-62828,False,0.00235,5.4
18.2,CVE-2026-8058,False,0.00358,4.5
17.4,CVE-2026-66750,False,0.00263,4.3
14.9,CVE-2026-66753,False,0.00218,3.7
0.0,CVE-2026-51271,False,0.0,0.0
0.0,CVE-2026-51270,False,0.0,0.0
0.0,CVE-2026-51269,False,0.0,0.0
0.0,CVE-2026-51268,False,0.0,0.0
